0	0	0.01514250.05332120.015146
0	1	0.01514250.1023230.0641594
0	2	0.06414450.1023350.015146
0	3	0.01514250.1278570.015146
1	0	0.0151910.01514250.0533652
1	1	0.06435030.01514250.102509
1	2	0.0151910.06414450.102379
1	3	0.0151910.01514250.127901
2	0	0.07949280.03028840.0794767
2	1	0.03033350.03028840.0303324
2	2	0.03033350.07929050.0793458
2	3	0.07933550.07930190.0303324
3	0	0.1025260.0151460.0643307
3	1	0.05336630.0151460.0151864
3	2	0.1023680.06415940.0151864
3	3	0.1279020.0151460.0151864
4	0	0.03319020.1352930.0641594
4	1	0.0915940.1929830.015146
4	2	0.08219220.1353040.015146
4	3	0.03319020.1608270.015146
5	0	0.07645150.2111320.0330467
5	1	0.01804780.1534420.0820601
5	2	0.01804780.2121850.0909745
5	3	0.01804780.1789760.0330467
6	0	0.07645150.2420550.0179007
6	1	0.01804780.2431080.0758285
6	2	0.01804780.2844340.0179007
6	3	0.01804780.2098990.0179007
7	0	0.1042760.09572820.147001
7	1	0.03622110.03416620.150005
7	2	0.03622110.08316820.124483
7	3	0.08538030.03416620.124614
8	0	0.155570.1466020.0936358
8	1	0.1459190.1917320.0221044
8	2	0.195260.1429680.0221044
8	3	0.1365170.1340540.0221044
9	0	0.1003660.09832560.0524368
9	1	0.1194180.1108740.123968
9	2	0.05136350.09831420.10145
9	3	0.1005230.04931220.101581
10	0	0.05422020.1312840.0862638
10	1	0.1126240.1889740.0372504
10	2	0.1222750.1438440.108782
10	3	0.1032220.1312950.0372504
11	0	0.1071320.1619930.126682
11	1	0.09748150.2071230.0551511
11	2	0.03907780.1494330.104165
11	3	0.03907780.2081760.113079
12	0	0.1489320.03416970.0372908
12	1	0.1424510.09573170.108822
12	2	0.1233980.08318310.0372908
12	3	0.1235560.03416970.0864351
13	0	0.1670360.05207040.0221044
13	1	0.1605550.1136320.0936358
13	2	0.2002450.1099980.0221044
13	3	0.1415020.1010840.0221044
14	0	0.0543170.01902370.167937
14	1	0.1223720.08058580.164933
14	2	0.1128770.01902370.200442
14	3	0.1034760.01902370.142545
15	0	0.107180.09863350.182716
15	1	0.03912590.09547520.217877
15	2	0.03912590.03707150.18572
15	3	0.09768560.03707150.218225
16	0	0.08908460.1137760.164784
16	1	0.021030.05221390.167789
16	2	0.021030.1106180.199945
16	3	0.021030.1012160.142266
17	0	0.021030.1932540.146049
17	1	0.08908460.1470710.159652
17	2	0.021030.1439130.194813
17	3	0.021030.1345110.137134
18	0	0.01809590.07645150.241838
18	1	0.07665550.01804780.242187
18	2	0.01809590.01804780.284217
18	3	0.01809590.01804780.209681
19	0	0.1335540.03047620.150583
19	1	0.152450.09203820.17297
19	2	0.1429550.03047620.20848
19	3	0.1817290.06753720.201984
20	0	0.1606660.08058580.126732
20	1	0.1671480.01902370.0552005
20	2	0.2005610.01902370.113158
20	3	0.1417710.01902370.104345
21	0	0.2184610.09485220.0400141
21	1	0.1787710.09848640.111546
21	2	0.1852520.03692440.0400141
21	3	0.2186650.03692440.0979711
22	0	0.1940570.04851350.197789
22	1	0.1458820.01145250.146388
22	2	0.2046720.01145250.155201
22	3	0.1552830.01145250.204285
23	0	0.1488160.03047620.135415
23	1	0.2076060.03047620.144228
23	2	0.1677120.09203820.157802
23	3	0.1969910.06753720.186816
24	0	0.2437010.01790070.0758667
24	1	0.2434970.07582850.0179097
24	2	0.2848230.01790070.0179097
24	3	0.2102870.01790070.0179097
25	0	0.3348690.05977060.0145314
25	1	0.2935430.1176980.0145314
25	2	0.3459810.1296430.0615561
25	3	0.3700540.1253920.0145314
