0	0	0.005311930.004855870.0178454
0	1	0.02250170.004855870.0335593
0	2	0.005311930.02056980.0350351
0	3	0.005311930.004855870.0426906
1	0	0.01784540.005311930.00485587
1	1	0.03355930.02250170.00485587
1	2	0.03503510.005311930.0205698
1	3	0.04269060.005311930.00485587
2	0	0.02735760.01016780.0258817
2	1	0.01016780.02588170.0273576
2	2	0.02588170.02735760.0101678
2	3	0.01016780.01016780.0101678
3	0	0.004855870.01784540.00531193
3	1	0.004855870.03355930.0225017
3	2	0.02056980.03503510.00531193
3	3	0.004855870.04269060.00531193
4	0	0.08328970.0292160.00548936
4	1	0.07092150.006896950.00548936
4	2	0.09576670.006896950.00548936
4	3	0.08343320.006896950.0232533
5	0	0.03085750.03139840.0182533
5	1	0.01514360.02992260.0354431
5	2	0.03233340.01420870.0339673
5	3	0.03124570.02728510.0444187
6	0	0.02747750.008896730.0416449
6	1	0.01028770.02461070.0431207
6	2	0.01028770.008896730.0507761
6	3	0.02638980.02197320.0520963
7	0	0.07119620.003996490.0336255
7	1	0.05868440.003996490.0158615
7	2	0.0510290.003996490.0315755
7	3	0.06395340.01692940.0337127
8	0	0.07055220.03852440.00551631
8	1	0.0581840.01620540.00551631
8	2	0.0634530.02913830.0233674
8	3	0.04905280.03339510.00551631
9	0	0.07724030.03321250.0110057
9	1	0.06487210.01089340.0110057
9	2	0.07738380.01089340.0287696
9	3	0.0701410.02382640.0288568
10	0	0.05726530.02224140.0282233
10	1	0.04286510.02649820.0103722
10	2	0.05199640.009308420.0103722
10	3	0.04434090.009308420.0260861
11	0	0.04016330.0305390.0184577
11	1	0.04055150.02642580.0446231
11	2	0.04163920.01334930.0341717
11	3	0.05456350.02628220.0363089
12	0	0.01689930.03791560.0361305
12	1	0.03261320.03939140.0189407
12	2	0.03977060.04806750.036879
12	3	0.03300140.03527810.0451061
13	0	0.06994230.04651740.0110596
13	1	0.04844280.04138810.0110596
13	2	0.0628430.03713130.0289107
13	3	0.05560020.05006420.0289979
14	0	0.03479480.05170420.0287935
14	1	0.01192350.04155230.0280449
14	2	0.01192350.05068360.0108552
14	3	0.02763740.04302810.0108552
15	0	0.0419190.0385320.0191451
15	1	0.04230720.03441870.0453105
15	2	0.05631920.03427520.0369962
15	3	0.04907640.04720810.0370834
16	0	0.01718470.004040850.0569638
16	1	0.03950370.004040850.069332
16	2	0.03437450.004040850.0478325
16	3	0.03328680.01711730.058284
17	0	0.05024840.003996490.0430751
17	1	0.05537760.003996490.0645745
17	2	0.07041560.003996490.0451251
17	3	0.06317270.01692940.0452123
18	0	0.04880950.008037350.0671707
18	1	0.05660460.02097030.0478084
18	2	0.04368020.008037350.0456712
18	3	0.04259250.02111380.0561227
19	0	0.0292160.005489360.0832897
19	1	0.006896950.005489360.0709215
19	2	0.006896950.005489360.0957667
19	3	0.006896950.02325330.0834332
20	0	0.03883150.01761190.0796577
20	1	0.01651250.03537590.0798012
20	2	0.03152680.04376490.0790611
20	3	0.03261450.03068840.0686096
21	0	0.01187280.02729420.0761636
21	1	0.03419180.009530220.0760201
21	2	0.01187280.009530220.0636518
21	3	0.02797480.02260670.064972
22	0	0.004975810.01438610.0574642
22	1	0.004975810.032150.069976
22	2	0.02107790.02746260.0587844
22	3	0.004975810.03010.0498088
23	0	0.03491480.05425520.043776
23	1	0.01204340.06560270.0481567
23	2	0.01204340.04410320.0430274
23	3	0.02814550.04146580.052003
24	0	0.007067630.05687120.0177521
24	1	0.0299390.05789190.0356905
24	2	0.007067630.06923950.0400711
24	3	0.007067630.047740.0349419
25	0	0.02571760.0421880.064007
25	1	0.00961550.06632490.0601607
25	2	0.00961550.04687550.0751986
25	3	0.02462990.05526450.0744585
26	0	0.004975810.06309910.0541574
26	1	0.02107790.03896210.0580037
26	2	0.004975810.04364960.0691953
26	3	0.004975810.04159960.0490281
27	0	0.03955450.0574810.0497793
27	1	0.01668310.06882860.05416
27	2	0.03278520.04469160.0580063
27	3	0.03169750.05776810.0684578
28	0	0.005489360.08328970.029216
28	1	0.005489360.07092150.00689695
28	2	0.005489360.09576670.00689695
28	3	0.02325330.08343320.00689695
29	0	0.04028420.05839230.0234816
29	1	0.01741290.05737160.00554325
29	2	0.03517680.06988340.00554325
29	3	0.03312680.04971620.00554325
30	0	0.04667640.06910280.00554325
30	1	0.06612590.05406480.00554325
30	2	0.05178380.05761170.0234816
30	3	0.04462640.04893560.00554325
31	0	0.0125570.07592750.0347592
31	1	0.03542830.064580.0303785
31	2	0.0125570.06355930.0124402
31	3	0.03032090.07607110.0124402
32	0	0.02709520.006309470.140801
32	1	0.00639630.02672740.138826
32	2	0.00639630.006309470.126819
32	3	0.00639630.006309470.151665
33	0	0.04143170.1277770.0247713
33	1	0.03655820.1026350.00584772
33	2	0.01879420.1149680.00584772
33	3	0.03921210.1269750.00584772
34	0	0.01330490.1513020.00584772
34	1	0.03594240.1392660.0247713
34	2	0.01330490.1264570.00584772
34	3	0.03372270.1384640.00584772
35	0	0.006995380.1270670.012244
35	1	0.02963290.1398760.0311676
35	2	0.006995380.1519120.012244
35	3	0.006995380.1410480.0329429
36	0	0.07956390.04974060.0166028
36	1	0.08920060.0550420.0345411
36	2	0.06522180.05328750.0345411
36	3	0.07246460.04035450.0344539
37	0	0.08418370.01942860.0343129
37	1	0.09367690.0470490.0344872
37	2	0.08404020.04174760.0165489
37	3	0.07694090.03236160.0344001
38	0	0.09381120.0432850.0159164
38	1	0.09395470.0209660.0336804
38	2	0.1183310.03887380.0317207
38	3	0.1034480.04858640.0338547
39	0	0.09468890.03474980.0103732
39	1	0.1192090.03033860.0261774
39	2	0.09483240.01243080.0281371
39	3	0.1071660.01243080.0103732
40	0	0.1195530.07234960.010427
40	1	0.09985420.0554150.010427
40	2	0.1243740.05100380.0262313
40	3	0.1094910.06071640.0283654
41	0	0.1050520.05327610.00488379
41	1	0.1247510.07021070.00488379
41	2	0.1295730.0488650.0206881
41	3	0.131510.0516560.00488379
42	0	0.1152970.01882710.00488379
42	1	0.1028210.04114610.00488379
42	2	0.1273410.03673490.0206881
42	3	0.1292790.0395260.00488379
43	0	0.1009330.01874040.0434479
43	1	0.1104260.04636080.0436223
43	2	0.1233720.03385720.0572925
43	3	0.125310.03664820.0414883
44	0	0.1516760.01193010.00488379
44	1	0.1268310.01193010.00488379
44	2	0.1388740.0298380.0206881
44	3	0.1408120.0326290.00488379
45	0	0.1267750.02344170.0324869
45	1	0.1023980.005533830.0344466
45	2	0.1147320.005533830.0166826
45	3	0.1267390.005533830.0371005
46	0	0.127960.0253220.0580588
46	1	0.1055210.01020520.0442142
46	2	0.1298980.0281130.0422545
46	3	0.1298610.01020520.0468681
47	0	0.1262210.005533830.0111933
47	1	0.1510660.005533830.0111933
47	2	0.1382640.02344170.0269975
47	3	0.1382270.005533830.0316112
48	0	0.1019660.004671350.0515545
48	1	0.1244050.01978810.0653991
48	2	0.1148370.004671350.0733485
48	3	0.1263060.004671350.0542084
49	0	0.02811460.1008620.0432263
49	1	0.01083050.1028350.0154731
49	2	0.02859440.09050130.0154731
49	3	0.01083050.09035770.0377922
50	0	0.00534110.1109660.0218694
50	1	0.02262520.1089940.0496226
50	2	0.00534110.1249470.0425683
50	3	0.00534110.09848940.0441885
51	0	0.01789810.08299550.0433354
51	1	0.0356620.08313910.0210164
51	2	0.03518220.09350.0487695
51	3	0.04076940.0716480.0389547
52	0	0.01704840.07953330.0546506
52	1	0.03991970.06818580.0502699
52	2	0.03433260.09003770.0600848
52	3	0.03206280.06847290.0689484
53	0	0.01233650.118780.0208202
53	1	0.02962060.1168080.0485734
53	2	0.0349740.1315890.0397438
53	3	0.01233650.1327610.0415191
54	0	0.01782580.1106480.0144239
54	1	0.03558980.0983150.0144239
54	2	0.04046340.1234570.0333475
54	3	0.035110.1086760.0421771
55	0	0.08927580.06996490.00554325
55	1	0.08685570.09003090.0234816
55	2	0.1089750.08689950.00554325
55	3	0.09162030.09787390.00554325
56	0	0.1112280.07991340.0110865
56	1	0.08910910.08304480.0290248
56	2	0.09152910.06297880.0110865
56	3	0.1011660.06828020.0290248
57	0	0.06666780.06238860.0345681
57	1	0.08100990.05884180.0166297
57	2	0.07858980.07890770.0345681
57	3	0.09064650.06414320.0345681
58	0	0.04641380.08473720.0196627
58	1	0.0459340.0950980.0474158
58	2	0.05152120.07324610.037601
58	3	0.06344320.08976520.037601
59	0	0.05772870.08441680.00554325
59	1	0.07717820.06937880.00554325
59	2	0.07952280.09728780.00554325
59	3	0.07475810.08944480.0234816
60	0	0.07202170.06185060.0110865
60	1	0.06960170.08191650.0290248
60	2	0.05257230.07688850.0110865
60	3	0.05767960.06539740.0290248
61	0	0.09431970.08953150.036534
61	1	0.1164390.08640020.0185957
61	2	0.1136020.0904570.042896
61	3	0.1063760.0747670.036534
62	0	0.1141850.09338630.0130525
62	1	0.1113480.09744310.0373528
62	2	0.0968310.1043610.0130525
62	3	0.09206630.09651760.0309908
63	0	0.08785590.03513970.0659215
63	1	0.09457760.04548910.0461425
63	2	0.08508450.01786870.0459682
63	3	0.07784170.03080160.0460554
64	0	0.09530050.01000840.0569003
64	1	0.1177390.02512520.0707449
64	2	0.09807180.02727940.0768537
64	3	0.1081710.01000840.0786943
65	0	0.09010130.05348210.0461964
65	1	0.08337960.04313270.0659754
65	2	0.06612260.05172750.0461964
65	3	0.07336540.03879460.0461092
66	0	0.08620220.005337030.109878
66	1	0.06926760.005337030.0901793
66	2	0.08707690.0226080.0906832
66	3	0.09717650.005337030.0925239
67	0	0.07387790.03863830.0685177
67	1	0.04985160.03444380.0569658
67	2	0.05662090.04723320.0487387
67	3	0.06386370.03430030.0486515
68	0	0.08371950.005337030.0586323
68	1	0.06868150.005337030.0780818
68	2	0.09659040.005337030.0804263
68	3	0.08649080.0226080.0785857
69	0	0.103750.0461640.0503938
69	1	0.09425670.01854360.0502194
69	2	0.1166960.03366040.064064
69	3	0.0970280.03581450.0701728
70	0	0.0624660.009333520.071374
70	1	0.08027530.02660450.0718779
70	2	0.0775040.009333520.0519245
70	3	0.07026120.02226640.0520117
71	0	0.04392720.04361250.0791724
71	1	0.06904110.03473060.080273
71	2	0.05123180.01745960.0797691
71	3	0.04501490.03053610.068721
72	0	0.05195480.05131840.0545376
72	1	0.06921180.04272360.0743166
72	2	0.04409780.05160550.0732161
72	3	0.04518550.03852910.0627647
73	0	0.05589790.01337440.0739701
73	1	0.07370720.03064540.0744741
73	2	0.0636930.02630730.0546079
73	3	0.04968090.02645090.0629221
74	0	0.09007490.06015970.0517666
74	1	0.06609620.05840510.0517666
74	2	0.08335320.04981020.0715456
74	3	0.07325360.06708120.0697049
75	0	0.04919910.06736020.0544595
75	1	0.0436120.08921220.0642743
75	2	0.04134220.06764730.073138
75	3	0.05635650.07603630.0723978
76	0	0.0716050.07484180.0635929
76	1	0.08842630.06792030.0456546
76	2	0.06444760.06616570.0456546
76	3	0.07636960.08268480.0456546
77	0	0.05531120.07237620.0486875
77	1	0.0497240.09422820.0585023
77	2	0.06246860.08105230.0666258
77	3	0.06723320.08889530.0486875
78	0	0.07351540.04935680.0773176
78	1	0.05625840.05795160.0575386
78	2	0.04840140.05823870.0762171
78	3	0.06341580.06662770.0754769
79	0	0.04066470.07247810.0827267
79	1	0.04293450.0940430.073863
79	2	0.04632940.08782370.0950778
79	3	0.05567910.08086710.0819865
80	0	0.004205370.01046350.185175
80	1	0.004205370.03184020.197598
80	2	0.004205370.01046350.210021
80	3	0.01781420.02294730.207804
81	0	0.01054730.003857710.185329
81	1	0.01054730.003857710.210175
81	2	0.03107010.003857710.19825
81	3	0.02415610.01634150.207957
82	0	0.05421030.005659160.127795
82	1	0.05583050.005659160.101337
82	2	0.05968530.02397260.113833
82	3	0.07276510.005659160.121036
83	0	0.02138140.005659160.111582
83	1	0.04755530.02397260.111601
83	2	0.04208030.005659160.125563
83	3	0.04370040.005659160.0991048
84	0	0.0411590.02946190.103469
84	1	0.01498510.01114850.10345
84	2	0.01498510.02891250.0911167
84	3	0.03730410.01114850.0909732
85	0	0.0342620.03577140.111035
85	1	0.008088170.0174580.111016
85	2	0.008088170.03787590.123023
85	3	0.008088170.03522190.0986827
86	0	0.04194380.01923020.0869332
86	1	0.01962480.03699420.0870768
86	2	0.04579870.03754360.0994293
86	3	0.03463920.04538320.0863366
87	0	0.01272790.04595760.118983
87	1	0.03890170.04385310.106995
87	2	0.01272790.04330370.0946427
87	3	0.02774220.05169270.0939025
88	0	0.04065830.03028210.119167
88	1	0.01448450.03238650.131155
88	2	0.01448450.01196860.119148
88	3	0.03518330.01196860.133129
89	0	0.06183450.01099620.0933163
89	1	0.07876910.01099620.113015
89	2	0.07964380.02826720.0938202
89	3	0.06568940.02930960.105812
90	0	0.07453590.04702290.0871354
90	1	0.04942190.05590490.0860349
90	2	0.06058140.04806540.0991276
90	3	0.06443630.06429390.0852948
91	0	0.03238190.05501720.101503
91	1	0.01736760.04928210.126583
91	2	0.04354140.04717770.114595
91	3	0.03238190.05738660.126837
92	0	0.01912420.04120040.134943
92	1	0.0398230.02078250.136918
92	2	0.0452980.03909590.122956
92	3	0.03413850.04930490.135198
93	0	0.03877210.06390090.122904
93	1	0.03877210.06153150.0975691
93	2	0.04443680.07687710.10992
93	3	0.04993160.05369190.110662
94	0	0.04907650.07873730.101863
94	1	0.05457130.05555210.102604
94	2	0.04341180.06339160.0895116
94	3	0.05842610.07178060.0887714
95	0	0.04703950.04523080.086448
95	1	0.05434420.01907790.0870446
95	2	0.07215350.03634890.0875485
95	3	0.0581990.03739130.0995407
96	0	0.009279390.05584710.126743
96	1	0.02429370.06158210.101663
96	2	0.009279390.07498720.115274
96	3	0.02429370.06395150.126997
97	0	0.004639690.05252250.119143
97	1	0.004639690.07166260.107674
97	2	0.01965410.05825760.0940627
97	3	0.004639690.04986860.0948029
98	0	0.004639690.07450820.0675964
98	1	0.004639690.07685270.0955053
98	2	0.004639690.05505870.0826343
98	3	0.01965410.06344770.0818942
99	0	0.02726490.09426880.0700628
99	1	0.009980790.0861090.0925376
99	2	0.009980790.08376440.0646287
99	3	0.02499520.0727040.0789265
100	0	0.03068390.06809640.0977293
100	1	0.01566960.08150150.11134
100	2	0.03068390.07046580.123064
100	3	0.03634860.0834420.11008
101	0	0.03365510.0955930.0782978
101	1	0.0163710.08743320.100773
101	2	0.03138530.07402810.0871614
101	3	0.037050.08937380.0995126
102	0	0.004639690.07969360.127128
102	1	0.004639690.08151880.151877
102	2	0.004639690.06055350.138597
102	3	0.01965410.06865790.138851
103	0	0.00534110.1007210.0563185
103	1	0.00534110.1271790.0546984
103	2	0.00534110.120420.0732531
103	3	0.02262520.1112260.0617526
104	0	0.00534110.09326960.0654435
104	1	0.00534110.09561420.0933524
104	2	0.02262520.1037740.0708776
104	3	0.00534110.1129690.0823781
105	0	0.11580.07457310.0347454
105	1	0.1258630.08620630.0168071
105	2	0.1230260.09026310.0411074
105	3	0.134240.08871020.0289572
106	0	0.1418050.07872150.0207886
106	1	0.1382490.05487180.0244427
106	2	0.1334270.07621760.0086384
106	3	0.1401860.05766280.0086384
107	0	0.133050.05701070.0299859
107	1	0.1282290.07835640.0141816
107	2	0.1181670.06672320.03212
107	3	0.1366070.08086040.0263318
108	0	0.1575830.08405870.00375461
108	1	0.1447510.06455290.00375461
108	2	0.1463690.08561160.0159048
108	3	0.1379920.08310770.00375461
109	0	0.1576490.09691810.00375461
109	1	0.1450280.1190260.00375461
109	2	0.1380570.0959670.00375461
109	3	0.1464340.0984710.0159048
110	0	0.08388140.1501840.00444099
110	1	0.06291610.1369040.00444099
110	2	0.08205620.1254350.00444099
110	3	0.07866620.1316810.0188123
111	0	0.05740570.09497110.00998424
111	1	0.07919970.1078420.00998424
111	2	0.07580970.1140880.0243556
111	3	0.07443510.09999910.0279226
112	0	0.05004290.1045560.0463136
112	1	0.05052270.09419550.0185604
112	2	0.06892670.1133120.0329318
112	3	0.06755210.09922340.0364988
113	0	0.05296340.1009390.00444099
113	1	0.05561730.1252790.00444099
113	2	0.07136740.1200560.0188123
113	3	0.07475740.113810.00444099
114	0	0.1049380.1027640.0417938
114	1	0.09042060.1096820.0174935
114	2	0.08565590.1018390.0354318
114	3	0.08703050.1159270.0318648
115	0	0.04676630.1004110.0188649
115	1	0.04628650.1107720.046618
115	2	0.06517030.1195280.0332363
115	3	0.05163990.1255530.0377885
116	0	0.06613870.1238480.0246601
116	1	0.04773470.1047310.0102887
116	2	0.05260830.1298730.0292123
116	3	0.05038860.1290710.0102887
117	0	0.1110880.1072420.0408593
117	1	0.09657110.114160.016559
117	2	0.09318110.1204050.0309303
117	3	0.111710.1208070.0314733
118	0	0.1313180.1011190.00836339
118	1	0.138290.1241780.00836339
118	2	0.1291030.118740.0232777
118	3	0.1396960.1036230.0205136
119	0	0.1077880.1305930.0239641
119	1	0.09447420.1486940.00904978
119	2	0.0926490.1239450.00904978
119	3	0.0892590.1301910.0234211
120	0	0.1303380.1267950.00460878
120	1	0.1060120.114710.00460878
120	2	0.1233670.1037360.00460878
120	3	0.1211510.1213580.0195231
121	0	0.1030390.1504980.00460878
121	1	0.1012140.125750.00460878
121	2	0.1255390.1378340.00460878
121	3	0.1163530.1323970.0195231
122	0	0.1029820.1088380.012118
122	1	0.1174990.1019210.0364183
122	2	0.1203360.09786410.012118
122	3	0.118120.1154860.0270323
123	0	0.1282880.09524660.0158726
123	1	0.1260720.1128680.0307869
123	2	0.125450.09930350.0401729
123	3	0.1366650.09775050.0280228
124	0	0.008845060.05534180.147279
124	1	0.008845060.07630710.160558
124	2	0.02245390.05761670.163903
124	3	0.02385940.06344630.147533
125	0	0.004205370.01992770.167708
125	1	0.004205370.04034560.15487
125	2	0.004205370.04130440.180131
125	3	0.01781420.04262050.171494
126	0	0.004205370.05313370.155006
126	1	0.004205370.0740990.168286
126	2	0.004205370.05409250.180267
126	3	0.01781420.05540860.171631
127	0	0.03594020.02213580.145759
127	1	0.01524140.04255370.143785
127	2	0.02885020.04482860.16041
127	3	0.03025570.05065820.144039
